submission_id,RT,age,comments,item_version,correct_answer,education,gender,languages,question,response,timeSpent,trial_name,trial_number,trial_type,vignette,condition
192,6024,57,NA,none,TRUE,Graduated College,female,English,The Solar System includes the planet Earth.,TRUE,39.48995,main_trials,1,filler,none,NA
192,4986,57,NA,none,FALSE,Graduated College,female,English,Vatican City is the world's largest country by land area.,FALSE,39.48995,main_trials,2,filler,none,NA
192,13019,57,NA,9,FALSE,Graduated College,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,39.48995,main_trials,3,main,3,Condition 9
192,5389,57,NA,none,FALSE,Graduated College,female,English,Big Ben is a very large building in the middle of Paris.,FALSE,39.48995,main_trials,4,filler,none,NA
192,2184,57,NA,none,TRUE,Graduated College,female,English,Harry Potter is a series of fantasy novels written by J. K. Rowling.,TRUE,39.48995,main_trials,5,filler,none,NA
192,14774,57,NA,none,FALSE,Graduated College,female,English,Taj Mahal is a mausoleum on the bank of the river in the city of Rome.,FALSE,39.48995,main_trials,6,filler,none,NA
192,13528,57,NA,0,FALSE,Graduated College,female,English,The volcanoes of Germany dominate the landscape.,TRUE,39.48995,main_trials,7,main,5,Condition 0
192,2292,57,NA,none,FALSE,Graduated College,female,English,James Bond is a spanish dancer from Madrid.,FALSE,39.48995,main_trials,8,filler,none,NA
192,1783,57,NA,6,FALSE,Graduated College,female,English,The King of France isn’t bald.,FALSE,39.48995,main_trials,9,main,1,Condition 6
192,12025,57,NA,none,TRUE,Graduated College,female,English,The Pacific Ocean is a large ocean between Japan and the USA.,TRUE,39.48995,main_trials,10,filler,none,NA
192,39609,57,NA,none,TRUE,Graduated College,female,English,The Pope is currently not married.,TRUE,39.48995,main_trials,11,special,3,NA
192,3605,57,NA,none,FALSE,Graduated College,female,English,Australia has a very large border with Brazil.,FALSE,39.48995,main_trials,12,filler,none,NA
192,2050,57,NA,1,FALSE,Graduated College,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,39.48995,main_trials,13,main,2,Condition 1
192,1849,57,NA,none,TRUE,Graduated College,female,English,Steve Jobs was an American inventor and co-founder of Apple.,TRUE,39.48995,main_trials,14,filler,none,NA
192,14453,57,NA,none,TRUE,Graduated College,female,English,Planet Earth is part of the galaxy ‘Milky Way’.,TRUE,39.48995,main_trials,15,filler,none,NA
192,1671,57,NA,none,FALSE,Graduated College,female,English,Germany has volcanoes.,TRUE,39.48995,main_trials,16,special,5,NA
192,4133,57,NA,none,TRUE,Graduated College,female,English,"Germany shares borders with France, Belgium and Denmark.",TRUE,39.48995,main_trials,17,filler,none,NA
192,4669,57,NA,none,FALSE,Graduated College,female,English,France has a king.,FALSE,39.48995,main_trials,18,special,1,NA
192,6869,57,NA,10,FALSE,Graduated College,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,39.48995,main_trials,19,main,4,Condition 10
192,3817,57,NA,none,TRUE,Graduated College,female,English,Antarctica is a continent covered almost completely by ice.,TRUE,39.48995,main_trials,20,filler,none,NA
192,2081293,57,NA,none,TRUE,Graduated College,female,English,The Statue of Liberty is a colossal sculpture on Liberty Island in New York City in the United States.,TRUE,39.48995,main_trials,21,filler,none,NA
192,1285,57,NA,none,TRUE,Graduated College,female,English,Canada is a democracy.,TRUE,39.48995,main_trials,22,special,2,NA
192,785,57,NA,none,TRUE,Graduated College,female,English,"English is the main language in Australia, Britain and New Zealand.",TRUE,39.48995,main_trials,23,filler,none,NA
192,544,57,NA,none,FALSE,Graduated College,female,English,Belgium has rainforests.,TRUE,39.48995,main_trials,24,special,4,NA
191,2693,19,NA,none,TRUE,Graduated High School,male,English,Earth has a powerful magnetic field.,TRUE,2.1661,main_trials,1,filler,none,NA
191,3129,19,NA,none,TRUE,Graduated High School,male,English,One of the longest rivers in Europe is the Rhine.,TRUE,2.1661,main_trials,2,filler,none,NA
191,2337,19,NA,0,FALSE,Graduated High School,male,English,The Belgian rainforest provides a habitat for many species.,FALSE,2.1661,main_trials,3,main,4,Condition 0
191,3886,19,NA,none,TRUE,Graduated High School,male,English,The town of Pisa in Italy is famous for its Leaning Tower of Pisa.,TRUE,2.1661,main_trials,4,filler,none,NA
191,3095,19,NA,none,TRUE,Graduated High School,male,English,Hibernation is a deep sleep that helps animals to save energy and survive the winter without eating much.,TRUE,2.1661,main_trials,5,filler,none,NA
191,5897,19,NA,none,TRUE,Graduated High School,male,English,Test of English as a Foreign Language (TOEFL) is a standardized test to measure the English language ability of non-native speakers.,FALSE,2.1661,main_trials,6,filler,none,NA
